countyFIPS,PopulationDensityperSqMile2010,PopulationEstimate2018,#ICU_beds,MedianAge2010,Smokers_Percentage,DiabetesPercentage,HeartDiseaseMortality,#Hospitals
34031,2715.3,503310.0,97.0,36.1,13.782069143,7.8,167.4,2.0
17089,990.8,534216.0,103.0,34.5,13.14262051,8.8,132.0,5.0
06077,492.6,752660.0,121.0,32.7,11.706166224,10.0,170.8,7.0
24005,1345.5,828431.0,123.0,39.1,13.277830309,9.4,172.4,5.0
34039,5216.1,558067.0,80.0,38.0,13.07573586,7.5,157.9,3.0
39061,1976.7,816684.0,297.0,37.1,19.327357226,9.9,173.9,8.0
48355,405.8,362265.0,115.0,35.1,14.396679472999999,12.5,159.0,3.0
26081,711.5,653786.0,150.0,34.4,15.052005478,8.6,175.0,3.0
09003,1216.2,892697.0,216.0,39.9,11.356248015999999,8.6,149.3,7.0
48085,930.0,1005146.0,195.0,35.0,11.502614335,8.6,121.2,11.0
09009,1426.8,857620.0,186.0,39.3,12.843951967,8.6,148.4,8.0
06013,1465.3,1150215.0,163.0,38.5,9.9405871282,7.8,112.8,7.0
55025,407.7,542364.0,39.0,34.4,12.442923627999999,6.1,124.9,4.0
16001,372.8,469966.0,105.0,34.8,11.990700664,7.4,143.8,3.0
18089,994.1,484411.0,188.0,37.4,18.647869199000002,11.5,184.4,9.0
24510,7671.5,602495.0,508.0,34.4,20.262595245,12.2,246.2,12.0
45045,574.7,514213.0,137.0,37.2,14.801699718,9.9,155.2,6.0
06099,344.2,549815.0,88.0,32.9,12.789751068,10.9,193.5,5.0
22051,1463.1,434051.0,215.0,38.4,18.743669593,12.7,178.7,5.0
08001,378.2,511868.0,168.0,32.4,16.324605425,8.0,135.7,3.0
48157,679.5,787858.0,128.0,35.0,11.728355735,7.4,121.1,6.0
36087,1796.0,325695.0,39.0,36.7,12.165288495,6.9,150.9,3.0
20091,1149.6,597555.0,110.0,36.4,10.638545632000001,7.1,112.5,9.0
25027,528.6,830839.0,169.0,39.2,13.804747585,7.9,146.6,8.0
55009,468.2,263378.0,60.0,36.2,14.962851844000001,9.9,166.1,4.0
27123,3341.7,550210.0,135.0,34.6,13.649298547999999,7.4,109.1,4.0
06107,91.7,465861.0,51.0,29.6,13.799712245,9.3,189.8,4.0
48121,754.3,859064.0,81.0,33.0,13.069650279000001,8.9,125.5,10.0
45079,507.9,414576.0,211.0,32.6,15.911091537999999,11.3,175.9,3.0
45019,382.3,405905.0,221.0,35.9,15.818134664,9.5,142.2,6.0
01097,335.9,413757.0,157.0,36.6,19.369969149,12.6,231.5,4.0
42003,1675.7,1218452.0,580.0,41.3,16.991038873,8.1,185.8,15.0
34029,917.0,601651.0,106.0,42.6,14.443273724,8.3,202.7,4.0
55133,709.4,403072.0,64.0,42.0,12.194141698,7.8,125.3,4.0
20173,499.6,513607.0,236.0,34.2,17.032092796,9.9,171.5,6.0
08005,716.7,651215.0,127.0,35.7,13.263552470999999,6.8,112.3,3.0
22033,966.6,440956.0,124.0,32.6,18.269947005,11.3,216.4,7.0
48479,74.5,275910.0,56.0,27.8,18.426031637999998,6.9,147.2,2.0
32031,66.9,465735.0,331.0,37.0,15.165619627,6.7,189.4,5.0
42091,1655.9,828604.0,215.0,40.6,13.194677885,7.0,142.7,11.0
