FIPS,State,County,x2020-02-15,x2020-02-16,x2020-02-17,x2020-02-18,x2020-02-19,x2020-02-20,x2020-02-21,x2020-02-22,x2020-02-23,x2020-02-24,x2020-02-25,x2020-02-26,x2020-02-27,x2020-02-28,x2020-02-29,x2020-03-01,x2020-03-02,x2020-03-03,x2020-03-04,x2020-03-05,x2020-03-06,x2020-03-07,x2020-03-08,x2020-03-09,x2020-03-10,x2020-03-11,x2020-03-12,x2020-03-13,x2020-03-14,x2020-03-15,x2020-03-16,x2020-03-17,x2020-03-18,x2020-03-19,x2020-03-20,x2020-03-21,x2020-03-22,x2020-03-23,x2020-03-24,x2020-03-25,x2020-03-26,x2020-03-27,x2020-03-28,x2020-03-29,x2020-03-30,x2020-03-31,x2020-04-01,x2020-04-02,x2020-04-03,x2020-04-04,x2020-04-05,x2020-04-06,x2020-04-07,x2020-04-08,x2020-04-09,x2020-04-10,x2020-04-11,x2020-04-12,x2020-04-13,x2020-04-14,x2020-04-15,x2020-04-16,x2020-04-17,x2020-04-18,x2020-04-19,x2020-04-20,x2020-04-21,x2020-04-22,x2020-04-23,x2020-04-24,x2020-04-25,x2020-04-26,x2020-04-27,x2020-04-28,x2020-04-29,x2020-04-30,x2020-05-01,x2020-05-02,x2020-05-03,x2020-05-04,x2020-05-05,x2020-05-06,x2020-05-07,x2020-05-08,x2020-05-09,x2020-05-10,x2020-05-11,x2020-05-12,x2020-05-13,x2020-05-14,x2020-05-15,x2020-05-16,x2020-05-17,x2020-05-18,x2020-05-19,x2020-05-20
42101,Pennsylvania,Philadelphia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,2,7,0,0,0,10,4,0,30,28,0,24,20,0,0,79,16,42,34,44,23,5,24,25,24,6,17,6,12,32,0,91,31,67,22,0,17,60,13,59,16,3,0,15,78,22,13,10,0,49,29,43
09003,Connecticut,Hartford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,4,2,5,8,3,2,17,20,7,13,13,15,17,20,60,30,23,23,6,74,33,40,27,42,42,26,33,31,27,28,17,26,0,32,31,38,25,17,17,8,12,10,32,36,26,19,25,15,6,26
34017,New Jersey,Hudson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,5,5,13,15,15,19,9,5,11,19,10,31,20,43,10,41,35,53,55,14,18,40,33,43,38,34,15,6,12,49,36,40,21,15,11,0,25,33,20,17,14,15,2,10,26,25,10,3,12,11,14,24
34039,New Jersey,Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,7,0,5,9,5,5,11,21,5,7,17,30,20,16,34,14,8,21,31,32,29,26,16,15,40,54,34,27,21,8,12,44,26,37,24,17,7,0,31,32,29,15,8,15,8,24,9,22,9,7,11,5,15,17
26125,Michigan,Oakland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,6,7,9,5,3,25,16,24,21,16,6,23,20,20,29,12,36,34,13,18,17,28,28,22,16,13,8,27,23,38,18,27,8,11,23,14,28,9,40,12,5,10,2,15,16,36,2,6,23,2,14,8,14,2,1,15,7
34023,New Jersey,Middlesex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4,5,0,6,4,3,21,8,20,4,7,13,39,13,16,9,16,11,12,32,30,31,4,16,16,15,9,27,17,18,11,13,60,16,40,20,27,21,3,25,39,31,11,11,34,1,7,18,22,24,7,12,4,15,10
09009,Connecticut,New Haven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,6,3,2,1,11,7,5,19,10,8,20,9,12,16,16,44,19,15,12,16,44,21,23,27,24,20,13,27,22,15,19,21,32,0,30,15,19,14,26,17,15,15,7,22,22,16,17,17,13,8,17
34031,New Jersey,Passaic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,2,2,4,7,12,4,4,11,9,9,11,19,18,12,5,20,26,29,10,22,7,13,31,33,23,33,33,10,12,37,41,57,26,25,8,1,30,27,13,12,19,10,3,18,20,17,14,15,7,1,3,13
25009,Massachusetts,Essex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,2,6,5,1,5,2,2,3,6,15,9,19,12,10,12,12,15,19,19,15,16,15,20,26,21,27,17,14,9,24,42,23,12,24,15,13,15,34,17,23,24,19,25,9,26,21,26,15,10,14,7,20
25025,Massachusetts,Suffolk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,2,1,7,6,2,5,1,4,9,8,6,17,8,7,18,14,27,19,24,24,24,25,22,33,28,26,19,33,24,21,35,20,26,19,19,8,13,33,21,20,20,15,13,1,17,10,9,10,9,6,4,10
26099,Michigan,Macomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,3,3,3,7,11,13,7,7,13,5,17,21,20,24,32,12,8,23,53,37,24,19,11,7,12,42,28,20,11,13,3,7,45,25,6,11,11,3,15,4,15,16,4,15,1,1,11,7,11,1,10,1,0,13,10
25021,Massachusetts,Norfolk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,2,1,1,2,3,6,3,1,1,3,6,6,10,14,15,12,14,18,24,26,22,20,29,17,27,22,23,33,32,18,11,19,36,15,23,13,15,5,20,21,12,15,12,15,11,2,13,20,14,9,6,3,7,14
34029,New Jersey,Ocean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,1,0,3,6,5,15,7,11,6,9,14,16,18,2,11,6,3,8,17,19,16,11,5,5,31,17,16,15,16,5,8,12,25,30,23,6,14,7,22,14,17,16,6,18,7,15,9,24,15,7,9,7,10,13
25027,Massachusetts,Worcester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,2,2,4,1,3,0,1,5,6,1,7,4,7,2,6,17,10,8,11,11,3,16,10,12,11,17,23,9,14,24,12,13,14,20,8,11,34,20,19,16,24,13,2,30,35,14,16,15,12,16,28
42091,Pennsylvania,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,2,1,2,6,5,0,8,7,0,25,6,0,23,18,11,8,7,12,17,20,39,7,0,4,6,3,15,17,80,22,11,7,12,1,61,28,35,9,8,2,0,9,22,31,21,6,6,0,9,21
34027,New Jersey,Morris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,2,3,0,1,8,4,15,3,8,4,5,27,15,15,18,17,10,0,30,20,4,16,23,2,12,22,18,15,16,7,4,4,22,10,26,17,10,9,0,25,17,12,3,5,5,2,5,8,8,11,11,0,8,3,9
12086,Florida,Miami-Dade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,4,9,5,6,0,10,6,3,16,18,9,4,12,34,12,28,12,3,9,16,10,7,30,17,8,6,1,22,14,14,6,9,2,9,29,25,22,14,14,5,3,15,13,17,13,11,2,5,12,0
18097,Indiana,Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,2,2,0,2,5,4,3,9,1,3,4,7,10,23,26,11,5,0,18,14,9,18,8,2,0,14,8,14,10,17,4,30,15,25,24,11,18,3,2,11,15,12,5,14,4,7,7,11,11,16,9,3,3,17,9
53033,Washington,King,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1,0,1,4,2,3,2,4,1,5,3,2,6,3,10,4,7,8,1,11,7,6,10,16,11,8,6,0,14,11,11,16,6,14,8,14,14,19,7,8,4,7,9,8,11,9,6,14,12,7,5,7,8,9,8,11,9,10,3,5,5,4,6,5,6,5,5,10,5,6,3,0,7,5,1,1,6,0
34025,New Jersey,Monmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,1,3,0,0,5,6,3,14,10,6,4,4,9,15,12,9,8,8,4,18,22,23,16,15,5,4,14,7,9,13,14,4,11,3,12,24,14,17,10,3,13,19,11,1,10,4,2,15,6,14,15,8,5,5,7,11
25013,Massachusetts,Hampden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,7,5,3,8,7,0,4,17,8,17,7,6,10,11,19,19,10,20,19,11,11,20,27,16,12,16,12,10,9,12,15,8,6,11,10,7,10,9,7,4,4,9,6,11,12,7,12,10,1,4,5
24031,Maryland,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,6,2,5,3,5,2,6,6,6,4,12,8,8,10,10,10,10,13,15,17,9,30,11,21,13,7,20,13,6,19,13,12,10,14,13,6,19,15,15,12,12,14,5,23,12
22071,Louisiana,Orleans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,0,5,2,5,6,11,9,11,13,3,13,15,14,10,23,5,8,10,14,23,16,1,7,3,9,32,11,15,15,7,5,10,5,23,20,5,7,7,0,4,6,18,3,2,2,6,6,11,0,0,5,0,2,7,4,1,7,6,0,0,0,6
42045,Pennsylvania,Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,1,1,2,3,1,1,5,3,3,4,9,0,1,6,14,11,3,4,13,9,18,6,0,7,11,1,2,19,60,11,5,15,0,3,62,6,50,6,12,1,4,6,14,29,18,12,0,0,13,0
27053,Minnesota,Hennepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,3,0,2,3,2,2,7,2,3,4,0,6,6,6,9,8,6,5,15,18,10,15,17,22,11,5,16,16,18,16,18,7,19,22,17,20,12,15,9,14,0,29,8,5,8,5,9,9
25023,Massachusetts,Plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,1,2,4,11,7,6,8,4,4,11,11,12,4,12,17,9,4,7,16,19,21,15,18,10,16,17,12,16,11,11,10,8,16,7,11,9,9,15,1,15,11,9,11,5,4,6,11
36029,New York,Erie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,4,7,3,4,1,3,6,2,8,12,4,13,11,13,11,5,0,0,31,7,8,13,5,5,15,6,3,8,4,7,6,10,7,4,10,74,12,6,12,8,11,8,7,9,6,11,10,6,6,5
24033,Maryland,Prince George's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,2,4,3,7,3,6,3,7,8,5,8,9,4,4,7,8,10,7,6,14,18,8,15,1,24,8,18,16,3,26,8,7,11,16,13,15,10,4,6,14,16,9,15,7,9,7,9,8
36087,New York,Rockland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,2,0,1,0,0,0,0,21,13,0,27,0,7,43,0,19,18,18,13,16,10,20,22,0,0,42,10,11,12,13,12,6,9,6,4,5,6,1,5,2,2,3,17,4,0,6,7,4,6,2,2,3,5,1,2,3,2
22051,Louisiana,Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,5,12,2,2,9,20,7,9,12,10,18,8,16,12,9,7,5,3,13,24,37,14,8,6,7,4,2,9,9,17,2,4,2,9,0,6,22,1,2,6,4,6,4,1,4,1,5,3,3,15,1,3,3,0,0,2
